,MAE,RMSE,MAPE%,R2,fit_time_s
default,30.271352157527545,48.23496932517271,24.219526207522918,0.9520576862420576,
tuned,31.338550449194784,48.64267465194572,25.957109330946025,0.9512437977074628,1.329756736755371
