,MAE,RMSE,MAPE%,R2,fit+predict time (s)
XGBoost,30.271352157527545,48.23496932517271,24.219526207522918,0.9520576862420576,1.3025567531585693
Random Forest,30.631574315833703,50.87309517939153,24.071608810271023,0.9466700349185381,1.0847785472869873
"SARIMAX(2,0,1)(1,0,0,24) 1-step",49.61314200106342,77.90378076881643,46.72459399543356,0.8749418365423958,891.0870501995087
Linear Regression,52.7258077987793,79.7503620849076,53.57431345584105,0.8689429755124916,0.005957365036010742
"Naive (lag-168, seasonal week)",67.6691365061271,118.79311279599881,74.53854700877132,0.7092113163347433,0.0015778541564941406
"Naive (lag-24, seasonal day)",79.16015958962667,133.3509277600057,72.80236702893912,0.6335733437322384,0.02433323860168457
