reanchor_every_h,MAE,RMSE,MAPE%,R2
1,31.338550449194784,48.64267465194572,25.957109330946025,0.9512437977074628
3,37.72918549441194,59.73754558683065,32.16137800343677,0.9264657399935566
6,40.48156534170163,63.24957194230547,35.294911796453206,0.9175652817752963
12,44.02741021564643,68.23614120204951,37.36141801930219,0.9040546580747931
24,46.51023443602928,72.75624830621466,39.9073227293997,0.8909224010863088
48,48.270795353073346,74.70128993052305,40.56116060278751,0.8850123551643766
168,50.770285363570515,78.04918129847026,41.05479442561428,0.8744745808586514
