step_ahead_h,RMSE,MAE,n
1,52.765730073595755,38.361314405389386,147
2,42.77662199914485,32.03826912081971,147
3,38.89575268639942,29.45920177381866,147
4,36.53683070181264,28.54495619430023,147
5,34.17810726076027,26.024523027900123,147
6,36.556305647930856,23.516503533271894,146
7,23.98866194903665,17.615624525775647,146
8,15.20142853070909,9.505673342984016,146
9,10.320460105672424,6.5079440593923605,146
10,8.37448989885826,4.972890132502334,146
11,12.980164469732141,10.18938140183279,146
12,35.131167061995676,28.077830631439,146
13,98.0864169111969,73.79326779221836,146
14,148.98290470870936,110.69930465907267,146
15,66.70519305078253,51.55979423000388,146
16,55.729715931878985,41.63793589970837,146
17,64.00351885451433,47.68321009858014,146
18,91.33559616683013,70.3794619677818,146
19,90.30901848110774,69.0913017220693,146
20,85.13739286569803,64.17312700454502,146
21,95.018549620099,72.97539534634107,146
22,91.13700256361734,71.95582058005137,146
23,126.47864069157121,96.42743787373583,146
24,119.44431020827706,91.59054554978462,146
